timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715406333529,2,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-240,text,false,,2629,0,332,1332,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,1
1715406333535,5,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-294,text,false,,2629,0,334,1334,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,5
1715406333588,4,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-305,text,false,,2629,0,336,1336,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3
1715406329050,4496,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-51,text,false,,2629,0,335,1335,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,4496
1715406329958,3606,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-160,text,false,,2629,0,335,1335,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3606
1715406333568,1,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-357,text,false,,2629,0,335,1335,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,1
1715406333567,2,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-257,text,false,,2629,0,335,1335,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,2
1715406329960,3633,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-139,text,false,,2629,0,336,1336,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3627
1715406329106,4492,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-88,text,false,,2629,0,337,1337,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,4492
1715406333606,3,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-236,text,false,,2629,0,337,1337,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3
1715406329957,3657,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-164,text,false,,2629,0,331,1328,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3657
1715406333620,3,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-56,text,false,,2629,0,326,1312,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3
1715406333627,3,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-232,text,false,,2629,0,326,1312,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3
1715406329955,3678,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-188,text,false,,2629,0,325,1311,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3677
1715406333641,3,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-322,text,false,,2629,0,326,1310,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3
1715406333645,2,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-192,text,false,,2629,0,325,1309,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,2
1715406333667,3,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-316,text,false,,2629,0,326,1304,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,2
1715406333670,2,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-224,text,false,,2629,0,325,1303,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,2
1715406333701,3,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-307,text,false,,2629,0,325,1297,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3
1715406329958,3765,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-155,text,false,,2629,0,324,1290,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3765
1715406333733,1,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-239,text,false,,2629,0,324,1289,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,1
1715406329053,4683,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-36,text,false,,2629,0,323,1287,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,4682
1715406329095,4657,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-83,text,false,,2629,0,322,1283,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,4657
1715406329082,4670,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-12,text,false,,2629,0,322,1283,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,4670
1715406333760,3,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-287,text,false,,2629,0,321,1281,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3
1715406329055,4709,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-23,text,false,,2629,0,320,1279,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,4709
1715406333774,2,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-216,text,false,,2629,0,320,1276,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,2
1715406329114,4697,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-91,text,false,,2629,0,320,1268,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,4696
1715406333805,5,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-319,text,false,,2629,0,320,1268,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,5
1715406333819,2,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-223,text,false,,2629,0,319,1264,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,2
1715406333844,2,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-220,text,false,,2629,0,319,1262,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,2
1715406329956,3895,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-179,text,false,,2629,0,318,1261,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3895
1715406333862,4,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-311,text,false,,2629,0,318,1257,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3
1715406333869,2,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-315,text,false,,2629,0,318,1256,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,2
1715406329061,4838,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-52,text,false,,2629,0,317,1246,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,4838
1715406329958,3964,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-159,text,false,,2629,0,316,1237,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3964
1715406329095,4834,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-80,text,false,,2629,0,316,1236,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,4833
1715406333928,3,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-264,text,false,,2629,0,315,1235,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,2
1715406333935,2,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-212,text,false,,2629,0,315,1235,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,2
1715406333938,2,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-171,text,false,,2629,0,314,1232,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,2
1715406333945,4,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-299,text,false,,2629,0,314,1230,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,4
1715406329068,4985,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-68,text,false,,2629,0,313,1212,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,4985
1715406329044,5069,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-28,text,false,,2629,0,312,1200,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,5069
1715406329960,4174,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-132,text,false,,2629,0,311,1194,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,4174
1715406329102,5053,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-87,text,false,,2629,0,310,1189,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,5052
1715406334691,2,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-300,text,false,,2629,0,336,1214,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,2
1715406334691,10,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-376,text,false,,2629,0,336,1214,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,10
1715406334699,2,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-385,text,false,,2629,0,334,1212,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,2
1715406334693,1,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-380,text,false,,2629,0,334,1212,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,1
1715406334698,3,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-374,text,false,,2629,0,333,1210,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3
1715406334694,7,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-320,text,false,,2629,0,333,1210,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,7
1715406334698,3,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-377,text,false,,2629,0,333,1210,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3
