timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715406329101,4470,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-7,text,false,,2629,0,500,1335,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,4469
1715406333568,1,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-316,text,false,,2629,0,500,1335,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,1
1715406333564,2,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-300,text,false,,2629,0,500,1335,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,2
1715406333526,2,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-240,text,false,,2629,0,500,1332,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,2
1715406329069,4471,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-47,text,false,,2629,0,500,1334,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,4471
1715406329965,3642,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-131,text,false,,2629,0,495,1313,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,3642
1715406333635,1,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-341,text,false,,2629,0,494,1310,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,1
1715406333647,4,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-233,text,false,,2629,0,493,1308,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,4
1715406329965,3700,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-127,text,false,,2629,0,492,1305,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,3700
1715406329050,4607,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-98,text,false,,2629,0,492,1305,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,4607
1715406329053,4614,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-197,text,false,,2629,0,490,1305,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,4614
1715406333672,4,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-320,text,false,,2629,0,489,1302,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,3
1715406329948,3769,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-459,text,false,,2629,0,488,1294,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,3769
1715406333731,2,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-381,text,false,,2629,0,487,1290,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,2
1715406329052,4682,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-103,text,false,,2629,0,486,1289,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,4682
1715406329965,3777,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-130,text,false,,2629,0,485,1286,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,3777
1715406329071,4675,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-75,text,false,,2629,0,484,1285,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,4674
1715406329075,4673,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-22,text,false,,2629,0,483,1284,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,4673
1715406329105,4666,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-59,text,false,,2629,0,482,1278,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,4665
1715406333772,3,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-393,text,false,,2629,0,481,1277,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,3
1715406333782,2,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-495,text,false,,2629,0,480,1274,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,2
