timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715406333569,2,View System User,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 2-151,text,false,,2629,0,500,1335,http://localhost/orangehrm-5.6/web/index.php/admin/viewSystemUsers,0,0,1
1715406333529,2,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-240,text,false,,2629,0,332,1332,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,1
1715406329101,4470,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-7,text,false,,2629,0,500,1335,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,4469
1715406329910,3656,View System User,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 2-84,text,false,,2629,0,500,1335,http://localhost/orangehrm-5.6/web/index.php/admin/viewSystemUsers,0,0,3656
1715406333535,5,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-294,text,false,,2629,0,334,1334,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,5
1715406333564,2,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-300,text,false,,2629,0,500,1335,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,2
1715406329964,3588,View System User,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 2-63,text,false,,2629,0,500,1335,http://localhost/orangehrm-5.6/web/index.php/admin/viewSystemUsers,0,0,3587
1715406333526,2,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-240,text,false,,2629,0,500,1332,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,2
1715406329069,4471,Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-47,text,false,,2629,0,500,1334,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,4471
1715406333588,4,Add Employee,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 3-305,text,false,,2629,0,336,1336,http://localhost/orangehrm-5.6/web/index.php/pim/addEmployee,0,0,3
1715406333574,3,View System User,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 2-483,text,false,,2629,0,500,1335,http://localhost/orangehrm-5.6/web/index.php/admin/viewSystemUsers,0,0,3
